start	end	text
772000	784000	Another very important thing for us is that we managed to get the permission to create a special economic zone on one of the sections for which we invest and build a new hall.
784000	794000	Since we managed to achieve a nice profitability, our profits are large, so the impact of this fiscal burden is also quite large.
794000	806000	Thanks to this, we will be able to do some of the activities related to the production of the assembly element for the heat pump, which will be carried out in the area of the zone.
806000	812000	Here, too, significant fiscal savings can be made.
812000	829000	We have just completed the construction of a new hall in the area of this zone. At the moment, production lines are installed for assembly units, for photovoltaics, for thermal collectors.
829000	846000	More or less the first test production is in June-July, while on a full scale from the end of the year, according to the plan, the new factory line will begin to function in this hall.
846000	861000	We decided on a slightly different direction of development in Austria, i.e. we did not create companies from scratch. We were looking for a ready-made company that would be acceptable.
861000	884000	We found a very interesting company with a long history as a company that used to be in the construction of heating, then in the construction of basements, and for some time it was also very much engaged in the installation of OZ solutions, heat pumps, photovoltaic installations.
884000	896000	On the basis of this company, we want to manage the entire Austrian market, i.e. also develop the hot trade in this country, the internet trade.
896000	915000	This company made an income of less than 20 million euros last year. As a result of consolidation, it will be visible at the end of the year, because the company came in January at the end of the year, it will not be consolidated yet.
915000	927000	However, as a result of the consolidation at the end of the year, it is certainly a significant development step for our company.
927000	940000	These are the most important things that we wanted to present to you, and now, if you are interested in our presentation, we invite you to ask questions.
940000	948000	Thank you very much for the presentation. Of course, I encourage you to ask questions, the first ones have already appeared.
948000	965000	However, before I start reading them, I have a few questions of my own. First of all, an incredibly high increase in income in 2022, really full recognition. What were the reasons for such a dynamic growth?
965000	978000	There was certainly not just one reason, but many. According to me, we were able to quickly assess the market properly.
978000	985000	That is, we assessed the market that it will simply have income, it will be able to sell, it will have goods.
985000	996000	We also talked about the fact that all the possibilities of delivery, storage and price uncertainty, a lot of companies just got scared.
996000	1004000	They did not order the right amount of the right products, they were unable to produce their product, and they could not sell it.
1004000	1011000	The company that could produce, it also took advantage of it in two ways.
1011000	1031000	First, it could sell its products, and secondly, due to the fact that these products were lacking on the market, at the same time, it looked like the margin was a little higher than normally with standard sales, where after each year you have to fight and make significant offers and competitors.
1031000	1044000	According to me, this is a good analysis of the market and preparation of a hub for such a difficult time.
1044000	1059000	Are these factors, because I understand that they disappeared a bit, those that were beneficial, i.e. the lack of goods on the market, currently you are working in such an environment that this product is there.
1059000	1066000	Therefore, can you expect an increase in sales or will this year be more difficult?
1066000	1072000	The year will be much, much more difficult, not only for us, but also for the whole world, according to me.
1072000	1092000	I think that due to the fact that inflation is high, credit rates are also high, it is difficult to get a credit that you could think of, it is a cheap credit that you can afford.
1092000	1107000	Therefore, the number of investments will definitely decrease. If the number of investments decreases, the number of purchased goods will not be the same, i.e. the competitiveness of these companies will have to be greater.
1107000	1115000	Last year, he sold the one he had and was able to use it. Today, there will be a battle on the other side.
1115000	1130000	Theoretically, the Polish market is already being signaled that it is not a market that is growing or that is behaving evenly, but it is a market, unfortunately, that is getting better.
1130000	1138000	So here again, according to me, we have a good chance, because we are on different markets with our products.
1138000	1150000	Last year, we managed to invest a lot of money so that we would be on the German market to a greater extent and on the Austrian market to a greater extent on other European markets.
1150000	1161000	We managed to make additional certificates on the heat pump. All the markets in the European Union are markets that are state-owned, that defend the access to these goods.
1161000	1172000	It is not as easy as it is in Poland. In Poland, any company can buy any product and introduce it to the market from our industry without any restrictions or problems.
1172000	1185000	Austrian or French markets are markets where it is very difficult to sell our product in Poland. Unfortunately, you have to have the appropriate certificates of a given country, permits.
1185000	1191000	These markets are protected by the policy and by the government of a given country. We don't have that.
1191000	1211000	That's why we needed that year. It was a very nice year, because we managed to get on the lists of products that are funded in Austria and Germany and build this experience that will allow us to sell our products on these markets, I think, with the success of our country.
1211000	1231000	It sounded a bit unoptimistically that this year would be difficult, but your plans are to increase these revenues and gain growth. Is it still a difficult business?
1231000	1242000	Yes, it is still a difficult business. Our plans are always comprehensive. I think that the market and economy will be difficult this year.
1242000	1250000	The same thing was very difficult for us that year, but it was perfect for us. That's why, on the one hand, I'm talking about the market and economy that awaits us.
1250000	1270000	I don't think that we will be the ones who will not be able to use it to their advantage. We think that this year we will be able to show our positive sides and win in these situations and in the economy that we will be in.
1270000	1275000	I think it will be a positive year.
1275000	1285000	Well, a bit of optimism has appeared. How did the sales structure look last year? What part was the export?
1285000	1294000	Last year, almost 70% were sold on foreign markets, mainly on the German market.
1294000	1307000	This year, I suspect that the export will increase even more after the adoption of the Austrian company. When will the Austrian company be fully consolidated?
1307000	1315000	The first consolidated result will be after the first quarter on March 31st. There is one more thing to note here.
1315000	1322000	The Austrian company had a moving turnover year, which started in March and ended in February.
1322000	1338000	The turnover year for the Austrian company will start in March and end in February.
1338000	1342000	But the consolidation will be from the moment of adoption?
1342000	1350000	The consolidation will be from the moment of adoption, i.e. we will consolidate the results from February 1st.
1350000	1358000	We will show consolidated results, i.e. the first consolidated report with the Austrian company will be at the end of the first quarter.
1358000	1365000	Do you want to sell your products in Austria under the brand of this company or introduce the Sannex brand?
1365000	1371000	For us, it is the expansion of our sales opportunities.
1371000	1379000	We will certainly sell and expand the assortment of products sold under the brand Kovac.
1379000	1392000	We will also supply and lead the sales of our products to very large recipients and producers as Sannex.
1392000	1397000	Please tell us about the structure of sales from the point of view of products.
1397000	1401000	You have the whole range of these products.
1401000	1410000	As you mentioned, you are first associated with collectors, with photovoltaics, now there are heat pumps.
1410000	1413000	What does this sales structure look like when it comes to products?
1413000	1415000	Fortunately, it is perfect.
1415000	1424000	All products that are associated with renewable energy and with the thermal part of this industry are produced by us.
1424000	1435000	We produce control systems with these complicated devices and entire systems, as well as each component of this system.
1435000	1442000	We produce heat pumps in a fairly large range, from 3 kilowatts to 35 kilowatts of power.
1442000	1448000	We produce solar collectors, we produce containers, we produce mounting systems.
1448000	1456000	Therefore, the assortment of products that we produce allows us to increase the European market very smoothly.
1456000	1458000	They are not everywhere to finance.
1458000	1461000	In one country they are like that, in another one they are like that.
1461000	1468000	We can also adjust from this large range of products what people want to buy in a given country,
1468000	1474000	because the government allows them to partially finance the purchase of these products.
1474000	1479000	Therefore, we can sell as much as possible on each market.
1479000	1482000	This is logical, but we can also adjust.
1482000	1485000	Our products are distributed to different markets.
1485000	1490000	In Germany, other heat pumps are sold than those in Poland.
1490000	1491000	We are different.
1491000	1495000	We have different systems that are required in the German market so that we can sell them.
1495000	1502000	The assortments have to be different, so that they can be configured with heat pumps and photovoltaics, so that they can be sold.
1502000	1505000	We have adapted products for each market.
1505000	1509000	The parts that sell well are financed.
1510000	1516000	But how is your sales dependent on a particular group of products?
1516000	1523000	Does it depend on the majority of sales or a certain number compared to another group of products?
1523000	1525000	Yes, it is.
1525000	1531000	In different periods of time in our company, different products are higher.
1531000	1534000	In larger quantities, they sell in smaller quantities.
1534000	1541000	For example, in recent years, products related to photovoltaics were very popular.
1541000	1551000	These products related to photovoltaics are still produced in large quantities, despite the fact that few people in Poland talk about photovoltaics,
1551000	1556000	because this preferential way of financing has ended.
1556000	1564000	But in Europe, these products are still well-stocked and are a large part of our production.
1564000	1569000	It is not always what is fashionable in Poland that we produce in large quantities.
1569000	1575000	Rather, we look at it globally and, according to European needs, we try to adapt to production.
1575000	1581000	Therefore, we are also developing production possibilities, for example, with photovoltaic mounting systems.
1581000	1587000	The entire hall that is being prepared, well, actually not the whole hall, of course, but it is very large,
1587000	1595000	will serve to develop the production possibilities of mounting systems related to photovoltaics.
1596000	1601000	How have the production capacities changed after the launch of these lines in the new hall?
1601000	1608000	Theoretically, the line is prepared for a new type of mounting system.
1608000	1614000	We have long tried to introduce other types of mounting systems into HENEC,
1614000	1620000	which are characterized by a lower use of materials and better durability.
1621000	1630000	For example, in Austria, there is a lot of snow on the roofs and those systems must be able to function,
1630000	1635000	even with such heavy rains, 1-2 meters of snow, they must function.
1635000	1640000	In addition, we have some ideas that have been with us for a few years,
1640000	1648000	and this type of machine that we have ordered will enable the production of such mounting systems.
1648000	1653000	Therefore, on the one hand, the production possibilities will increase,
1653000	1658000	which is certainly an interesting thing, almost 60-70%,
1658000	1664000	but a very innovative product will also be created, which will be launched today.
1668000	1673000	Do you predict that there will be a full use of these production powers by the end of the year,
1673000	1678000	i.e. there will be a request for these new products and what will be produced in this hall?
1682000	1685000	If we knew that, it would be cool.
1685000	1689000	We assume that, according to the talks that we have conducted,
1689000	1692000	we were now at the exhibition in Frankfurt,
1692000	1699000	we could meet with our clients and also with new companies that are willing to cooperate.
1700000	1707000	Therefore, I believe that the mounting systems that are sold today are characterized by a high cost.
1707000	1712000	There, the durability of certain elements is based on the thickness of the steel.
1712000	1718000	We believe that this is not a good road because the trucks are shaking.
1718000	1723000	I believe that it is possible to do much better with a well-designed hook.
1723000	1727000	You can save material, but you need appropriate machines.
1727000	1733000	Therefore, we believe that if we use less raw materials and make a much better element,
1733000	1739000	I think that we will have a very interesting product and it will be of great interest to us.
1740000	1745000	Okay, let's move on to the questions that have already appeared a bit.
1745000	1751000	I will present them one by one, as long as there are no answers to them.
1751000	1755000	I think we will jump a bit when it comes to areas.
1755000	1760000	Let's start with something that we haven't talked about yet.
1760000	1763000	What are the issues regarding the work on Vodor?
1763000	1766000	Does the company run such work at all?
1766000	1775000	Vodor is behind us, years ago there were two such directions.
1775000	1777000	It was geothermal and water.
1777000	1782000	So Vodor a few years ago was a very difficult topic
1782000	1791000	because very few companies in Europe had research opportunities
1791000	1794000	regarding the use of Vodor in OZ.
1794000	1800000	Vodor was used in the automotive industry, as well as in other industries, but not in OZ.
1800000	1805000	Today, we are still collecting experience,
1805000	1812000	we are still studying the possibilities of using how Vodor could be used
1812000	1815000	for heating systems, for storing energy.
1815000	1821000	It seems that the biggest disadvantage of photovoltaics for me
1821000	1827000	is the inability to store electricity for a long period of time.
1827000	1831000	We are talking about two weeks, months, two months, three months.
1831000	1837000	Here, storing electricity for such a long period of time is not possible
1837000	1840000	because of financial or technical reasons,
1840000	1845000	because a standard storage of energy is 10 kilowatts, 23 kilowatts,
1845000	1852000	and that's too much money because every 10 kilowatts is about 10 thousand euros.
1852000	1854000	We can accept that.
1854000	1860000	We believe that Vodor would be a perfect material
1860000	1865000	that can store this energy for a long period of time.
1865000	1872000	And in this direction, actually, our gaining experience
1872000	1877000	on what we should pay attention to, what it should look like.
1877000	1880000	We are very, very, very far away
1880000	1885000	so that we can say that this system should look like this or that or that.
1885000	1890000	So we are preparing for various competitions here,
1890000	1896000	which I hope will eventually be presented,
1896000	1902000	and then with these ideas we will try to get into the field of these companies
1902000	1907000	that will show the possibilities of storing and using Vodor
1908000	1912000	and producing Vodor from renewable sources of energy,
1912000	1914000	including photovoltaics,
1914000	1916000	and storing it for a longer period of time
1916000	1920000	and using it at the moment when we will need this energy,
1920000	1922000	whether it concerns single-family homes
1922000	1926000	or larger buildings or applications in transport itself,
1926000	1929000	in production or on site.
1929000	1932000	In my opinion, it will be possible to use this Vodor
1932000	1935000	in the place where it was created.
1935000	1937000	And through photovoltaics,
1937000	1943000	that is, through the use of something that does not burden the natural environment.
1943000	1947000	This direction is very, very relevant and interesting to us.
1948000	1952000	What dynamics of the company's arrival are expected in the coming years?
1953000	1955000	This is a very difficult question,
1955000	1962000	because on the one hand, the OZE solution market is in Poland
1962000	1964000	and in Poland it is not an independent company.
1964000	1970000	In European countries it is very dependent on legal solutions
1970000	1975000	and financing that the governments of their citizens offer us.
1975000	1978000	On the other hand, for sure,
1978000	1982000	dynamic increases of 100% annually,
1982000	1987000	the more and the bigger the company has its arrival,
1987000	1994000	the more difficult it is to achieve such large growth levels.
1994000	2000000	Therefore, it is difficult to expect that growth
2000000	2005000	can be maintained at a level of 100% for a few years.
2005000	2010000	However, we would like it to be such above-standard increases,
2010000	2014000	which companies set somewhere 10-20%.
2014000	2016000	This is maybe a bit ambitious for us.
2016000	2020000	However, growth above 100% is again not very realistic.
2022000	2026000	But this year, for sure, the company will add quite an important amount of money.
2026000	2030000	Yes, of course, if such one-time events such as the purchase of a company,
2030000	2035000	they automatically allow us to double the turnover in consolidated results.
2038000	2041000	Therefore, the question is what plans for this year?
2041000	2043000	Are you still preparing some admissions?
2044000	2048000	We are still looking at the European market
2048000	2054000	for subjects that would fit our production,
2054000	2057000	our products and our activities.
2057000	2065000	We are still looking at the things that would be part of our responsibility,
2065000	2069000	whether it is sales, production or such a living element.
2070000	2078000	We are currently analyzing companies that are on sale in our industry,
2078000	2080000	in Germany or Switzerland.
2080000	2083000	This would be a potentially interesting direction for us.
2086000	2089000	Can we expect any new year this year?
2089000	2092000	No, we are not able to say right now.
2092000	2095000	At the moment, we do not have a company chosen
2095000	2099000	that could enter the game.
2099000	2102000	We are at the stage of market observation.
2102000	2105000	Something interesting can be shown all the time.
2105000	2108000	At the moment, however, there are no talks with anyone.
2108000	2112000	However, this does not exclude the fact that in two or three months
2112000	2115000	an interesting offer will appear and such talks will begin.
2115000	2118000	We are open to this.
2118000	2120000	They can also agree quickly.
2121000	2124000	Even now, when we say that we have nothing planned,
2124000	2128000	in a month it may turn out that in two months we will be in the game.
2128000	2130000	This may also happen.
2130000	2134000	We are still checking the market to see what interesting things will happen.
2134000	2138000	The economic situation may also affect the appearance of new offers
2138000	2141000	or the absence of new offers.
2141000	2144000	The situation is very dynamic and will continue.
2144000	2148000	Therefore, I think that we are well prepared to control the market
2148000	2149000	and see what is happening.
2149000	2153000	One of the elements of this strategy is also the willingness
2153000	2155000	to make potential decisions.
2157000	2159000	Who is the competitor for Sanex?
2161000	2164000	The competitor for Sanex in terms of products
2164000	2167000	are certainly a few European companies,
2167000	2169000	maybe two or three,
2169000	2174000	which have a very high potential in the products they produce,
2174000	2177000	i.e. they produce a large range of products.
2177000	2179000	There are certainly such companies,
2179000	2181000	because we will not talk about them,
2181000	2182000	but they are such.
2182000	2186000	In Poland, rather due to the assortment we produce
2186000	2189000	and in terms of quantity, we do not have competition.
2189000	2193000	There are companies that produce a similar range,
2193000	2197000	but in a very modest assortment and quantity.
2200000	2203000	What is the competitive advantage of the company?
2204000	2209000	Our company has the biggest competitive advantage
2209000	2212000	due to the assortment.
2212000	2219000	We have seen several times that due to the assortment of products
2219000	2222000	that we produce for a very large assortment,
2222000	2225000	it allows us to survive very well
2225000	2229000	those periods that are worse in Europe or Poland.
2230000	2233000	If a product is believed to no longer be sold,
2233000	2235000	and the sun collector,
2235000	2237000	then we have, first of all,
2237000	2240000	because we are in different countries,
2240000	2244000	it already allows us to sell this collector in larger quantities,
2244000	2248000	as well as even if we sold it less,
2248000	2250000	because then other products appear,
2250000	2251000	e.g. photovoltaics,
2251000	2253000	which is sold in larger quantities.
2253000	2256000	Therefore, one product that compensates for the potential
2256000	2259000	losses that could happen on this collector.
2259000	2261000	Therefore, from my perspective,
2261000	2264000	I think that the biggest point of attention
2264000	2268000	is the assortment of very innovative products.
2268000	2272000	Our products, we come out of the education of the poor.
2272000	2276000	We have always produced a lot of different products for someone.
2276000	2278000	And that limited us.
2278000	2284000	We were not able to force the introduction of innovative production methods.
2284000	2287000	We simply had to produce on order,
2287000	2289000	as our clients wish.
2289000	2291000	If we sell our brand,
2291000	2295000	we have been selling our brand and our products for a few years,
2295000	2298000	we have very innovative products in the assortment.
2298000	2302000	We have products that are not yet sold today.
2302000	2304000	We have such products.
2304000	2306000	These are all hybrid systems.
2306000	2309000	These systems, despite the fact that they sound cool
2309000	2312000	and everyone thinks they are interesting,
2312000	2314000	it is not yet time for these systems.
2314000	2319000	Here, the signal has to be received by developer companies,
2319000	2323000	by construction companies, by installation companies.
2323000	2326000	They have to get used to different standards.
2326000	2328000	We have such products.
2328000	2331000	We are prepared to offer such products.
2331000	2332000	We show them.
2332000	2334000	We train installers.
2334000	2336000	We show what the advantages of these products are.
2336000	2341000	I think this is the second member that distinguishes us.
2341000	2344000	We do not produce the same product all the time
2344000	2348000	and we simply sell it until it becomes fashionable
2348000	2350000	and stops being sold,
2350000	2352000	but each of our products,
2352000	2355000	due to the very large research and development department,
2355000	2358000	is developed in terms of innovation,
2358000	2360000	in terms of production methods
2360000	2363000	and in terms of using this product at hand.
2363000	2366000	Each of our products can cooperate,
2366000	2369000	change products and create very complicated systems.
2369000	2373000	I think that the direction of development in the European market
2373000	2378000	is to operate entire systems
2378000	2380000	that cooperate with each other,
2380000	2384000	are intelligent and can be controlled and managed
2384000	2387000	in such an economic way.
2388000	2391000	Here the question and fear comes back,
2391000	2394000	whether it is possible to treat the year 2023,
2394000	2396000	I think it is about the previous year, 22,
2396000	2397000	as a one-off,
2397000	2400000	and now there is a return to the normalization of sales
2400000	2402000	in the following years.
2402000	2404000	Were these margins in 2022, however,
2404000	2408000	higher than what can be expected in the coming years?
2410000	2411000	Yes and no.
2411000	2414000	As we said, that year was definitely a unique year
2414000	2415000	for many companies.
2415000	2417000	Some companies ceased to exist,
2417000	2418000	and other companies grew.
2418000	2420000	This is the state that was well prepared
2420000	2423000	and did not have a hard core like a tree
2423000	2426000	and was flexible and could not prepare for it and wanted to.
2426000	2429000	This win, who did not do it, lost.
2429000	2431000	This year will be exactly the same.
2431000	2434000	The one who does not prepare well for these changes
2434000	2436000	that are economic changes in the year,
2436000	2438000	and in Poland they are visible,
2438000	2441000	this one will not go through it.
2441000	2445000	You have to aggressively try to start working
2445000	2447000	and prepare for the new reality
2447000	2450000	that surrounds us and will not be interesting.
2450000	2453000	So these are negative things in relation to the economy,
2453000	2455000	but positive in relation to us.
2455000	2458000	We believe that we have products prepared for this
2458000	2462000	and we can win in this economic situation.
2462000	2467000	Today we are fighting to be part of a large company
2467000	2470000	in the field of renewable energy,
2470000	2473000	but measured in European standards, not Polish.
2473000	2477000	That is why we believe that every investment
2477000	2480000	as it will be in this year,
2480000	2484000	should allow us to get to this level faster,
2484000	2487000	to the level of these big companies
2487000	2493000	that can operate in the European market as a whole.
2493000	2499000	That is, they can offer their solutions as a whole,
2499000	2501000	i.e. such systems.
2501000	2504000	I believe that it will be a good year.
2504000	2507000	The year will be bad for the economy for the state,
2507000	2510000	and good for us.
2510000	2513000	What are the predictions for the growth of sales
2513000	2516000	in relation to Mój Prąd 5.0 in Poland?
2516000	2519000	Are you still focusing on exports to Germany and Austria?
2519000	2522000	Yes, we are focusing on exports to Germany and Austria.
2522000	2524000	I will tell you why.
2524000	2527000	Because we are all talking about 5.0 in the new program,
2527000	2530000	but to this day no one knows what the program will be like.
2530000	2532000	There is no deadline yet.
2532000	2535000	This morning I checked, there is no deadline for the 5.0 program yet.
2535000	2539000	So there are assumptions, there are predictions, as always.
2539000	2542000	We introduce a program in Poland,
2542000	2547000	and this program is 100% prepared for people,
2547000	2549000	end users,
2549000	2552000	i.e. the end user does not play a role.
2552000	2555000	He will be glad that such a program has been created,
2555000	2557000	because he can use it.
2557000	2561000	But please note that these programs are not consulted,
2561000	2565000	they are not prepared with companies that are supposed to take part in it.
2565000	2568000	This is only half of the matter.
2568000	2573000	If we knew that we would need energy warehouses in a year,
2573000	2576000	Polish companies, Polish entrepreneurs
2576000	2579000	could produce such warehouses, take part,
2579000	2582000	build the second part of this economy.
2582000	2585000	Production companies would hire people,
2585000	2587000	people would buy products,
2587000	2589000	companies would buy products,
2589000	2592000	co-products would produce all the products
2592000	2595000	that this end user could buy.
2595000	2597000	This is only half of the matter.
2597000	2600000	We will probably find out in this day,
2600000	2603000	when the program will enter life or the day before,
2603000	2606000	what will be financed and what will happen.
2606000	2609000	Every company that wants to make money
2609000	2612000	will have to buy it somewhere outside,
2612000	2615000	or be lucky and buy it in Poland,
2615000	2618000	because it will turn out that someone has it.
2618000	2621000	After all, it is a bit illogical.
2621000	2624000	In the end, in Poland, in terms of production,
2624000	2627000	it would be very, very unfair
2627000	2630000	to our employees and to our workers.
2630000	2633000	We would never know in our lives
2633000	2636000	how much money is intended for this.
2636000	2639000	When they finish, it would be impossible to plan.
2639000	2642000	Production companies have to plan on a scale of two years,
2642000	2644000	minimum.
2644000	2647000	A year is waiting for ordering a machine.
2647000	2650000	If we do not know what kind of product
2650000	2653000	will be financed, how are we supposed to produce it,
2653000	2656000	how will we wait for the machine?
2656000	2659000	This does not work.
2659000	2662000	Therefore, the main security of production opportunities,
2662000	2665000	as well as the implementation of new products,
2665000	2668000	are foreign countries.
2668000	2671000	They guarantee the continued sale of our products.
2671000	2674000	And whether we get to pin 0 or 6.0 in Poland,
2674000	2677000	we will see.
2677000	2680000	But whether it will be the whole system,
2680000	2683000	whether it will be half of the system,
2683000	2686000	whether we will be able to produce it, we do not know.
2686000	2689000	A year ago there were quite a few concerns
2689000	2692000	about the costs, in particular, how much steel has grown.
2692000	2695000	The situation on the steel market has changed,
2695000	2698000	it is positive, I think, for companies.
2698000	2701000	However, other costs are growing, energy, gas,
2701000	2704000	rewards. How does it look for you?
2705000	2708000	We are trying to take into account
2708000	2711000	things that are obvious.
2711000	2714000	It was obvious last year
2714000	2717000	that the costs and logistics of delivery,
2717000	2720000	delivery chains, that they would be difficult.
2720000	2723000	We took it into account,
2723000	2726000	we managed to predict some market situations
2726000	2729000	and react well to them.
2729000	2732000	Today we know for sure that energy costs
2732000	2735000	will not be drastically cheaper.
2735000	2738000	Rather, they will be the same or more expensive.
2738000	2741000	Maybe they will not be as expensive as everyone expects,
2741000	2744000	but they will definitely be more expensive.
2744000	2747000	These are things that are stable.
2747000	2750000	If we know these things that will probably happen,
2750000	2753000	we can react to them and prepare for it.
2753000	2756000	That is, either negotiate materials,
2756000	2759000	use others, negotiate prices
2759000	2762000	or construct a technological process
2762000	2765000	in such a way that it uses less energy.
2765000	2768000	We can use photovoltaic panels
2768000	2771000	to use the amount of current that is used
2771000	2774000	to create it ourselves.
2774000	2777000	We take advantage of all these possibilities.
2777000	2780000	We try to present to each of these possibilities
2780000	2783000	the consequences of what will happen
2783000	2786000	in order to prepare for them.
2786000	2789000	It is clear that we are able to
2789000	2792000	negotiate with all the consequences,
2792000	2795000	but if someone is already thinking about this topic,
2795000	2798000	we can predict certain things
2798000	2801000	that will probably happen.
2801000	2804000	I think that we are being prepared
